External ID;Name;Product Type;Internal Reference;Barcode;Sales Price;Cost;Weight;Description
electronic_product_1;Smartphone Samsung Galaxy S23;Storable Product;SM-G911B;8806094933873;999.99;750.00;0.17;"Pantalla AMOLED 6.1"", 8GB RAM, 128GB Almacenamiento, Cámara 50MP"
electronic_product_2;Smartphone Samsung Galaxy S24;Storable Product;SM-G912B;8806094933874;1099.99;800.00;0.18;"Pantalla AMOLED 6.3"", 12GB RAM, 256GB Almacenamiento, Cámara 64MP"
electronic_product_3;Tablet Samsung Tab S9;Storable Product;SM-T970;8806094933875;849.99;600.00;0.45;"Pantalla 11"", 8GB RAM, 128GB Almacenamiento, Cámara 13MP"
electronic_product_4;Portátil Dell XPS 13;Storable Product;DELL-XPS13;884116411234;1499.99;1100.00;1.2;"Pantalla 13.4"", Intel i7, 16GB RAM, 512GB SSD"
electronic_product_5;Auriculares Sony WH-1000XM5;Storable Product;SONY-WH1000XM5;4905524974937;399.99;300.00;0.25;"Cancelación activa de ruido, Bluetooth, hasta 30h batería"
electronic_product_6;Monitor LG UltraFine 27";Storable Product;LG-27UL850;8806098732754;499.99;350.00;5.5;"27"" UHD, USB-C, HDR400"
electronic_product_7;Smartwatch Garmin Fenix 7;Storable Product;GARMIN-F7;753759278832;699.99;500.00;0.09;"GPS Multideporte, pantalla transflectiva, resistencia al agua"
electronic_product_8;Router Asus RT-AX88U;Storable Product;ASUS-RTAX88U;4718017282430;349.99;250.00;0.95;"WiFi 6, 6000 Mbps, 8 puertos LAN"
electronic_product_9;Teclado Logitech MX Keys;Storable Product;LOGI-MXKEYS;5099206085240;119.99;85.00;0.8;"Iluminación inteligente, Bluetooth, multi-dispositivo"
electronic_product_10;Cámara Sony Alpha 7 IV;Storable Product;SONY-A7IV;4548736134134;2799.99;2200.00;0.66;"Sensor full-frame 33MP, video 4K, estabilización de imagen"
electronic_product_11;Altavoz JBL Charge 5;Storable Product;JBL-CHARGE5;6925281989359;199.99;150.00;0.96;"Resistente al agua, 20h batería, Bluetooth 5.1"
electronic_product_12;Disco SSD Samsung 980 PRO 1TB;Storable Product;SAM-980PRO1TB;8806090295560;149.99;100.00;0.045;"NVMe PCIe 4.0, velocidad hasta 7000MB/s"
electronic_product_13;Impresora HP LaserJet Pro MFP M428fdw;Storable Product;HP-M428FDW;193015540511;449.99;350.00;12.6;"Impresión láser, multifunción, Wi-Fi"
electronic_product_14;Microondas Samsung MG23K3515;Storable Product;SAM-MG23K3515;8806088237983;139.99;90.00;13.5;"800W, grill, 23 litros"
electronic_product_15;Proyector Epson EH-TW7000;Storable Product;EPSON-TW7000;8715946675255;1299.99;950.00;6.6;"4K PRO-UHD, HDR, 3000 lúmenes"
